Branch,Code,RoleSlug,FitScore,Directness,Rationale,SourceKind,SourceUrl,SourceRetrievedOn
navy,AE,aircraft-mechanic,70,adjacent,"General aircraft mechanic roles can value AE backgrounds where electrical systems are central.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
navy,AT,avionics-technician,98,direct,"Aviation electronics troubleshooting maps directly to avionics and mission-systems technician roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
navy,AT,maintenance-quality-lead,72,adjacent,"Senior AT experience can translate into production, quality, and technical-representative paths.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
navy,722B,avionics-technician,94,direct,"MH-60R organizational maintenance experience supports rotary-wing avionics and mission-systems roles.",official_neocs,https://www.mynavyhr.navy.mil/References/NEOCS-Manual/,2026-08-29
navy,722B,aircraft-mechanic,90,direct,"MH-60R platform experience also supports rotary-wing aircraft mechanic work when the billet includes systems-level maintenance.",official_neocs,https://www.mynavyhr.navy.mil/References/NEOCS-Manual/,2026-08-29
air_force,2A5X1,aircraft-mechanic,94,direct,"Airlift and special-mission aircraft maintenance maps to aircraft mechanic and field-maintenance roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
air_force,2A5X1,maintenance-quality-lead,76,adjacent,"Experienced maintainers can translate to production, quality, and field-service representative paths.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
air_force,2A6X1,aircraft-engine-specialist,98,direct,"Aerospace propulsion maps directly to aircraft engine, powerplant, and OEM propulsion support roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
air_force,2A6X1,aircraft-mechanic,82,direct,"Propulsion experience is also useful in broader aircraft mechanic roles, especially where A&P or OEM training is present.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
marine_corps,6114,aircraft-mechanic,97,direct,"UH/AH-1 helicopter maintenance maps directly to Bell-platform and rotary-wing mechanic roles.",official_mos_manual,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,6114,maintenance-quality-lead,74,adjacent,"Senior platform-maintenance experience can support quality and maintenance-control tracks.",official_mos_manual,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,6324,avionics-technician,96,direct,"Aircraft communications, navigation, electrical, and weapons-system maintenance maps directly to avionics and mission-systems roles.",official_mos_manual,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,6324,maintenance-quality-lead,72,adjacent,"Experienced systems technicians can move into quality, production-control, or field-service tracks.",official_mos_manual,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
coast_guard,AMT,aircraft-mechanic,96,direct,"Aviation maintenance technician experience maps directly to civilian aircraft mechanic and operator maintenance roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
coast_guard,AMT,maintenance-quality-lead,76,adjacent,"AMT inspection and maintenance-control experience can support quality and production roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
coast_guard,AET,avionics-technician,97,direct,"Aviation electronics technician experience maps directly to avionics and aircraft electrical roles.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
coast_guard,AET,maintenance-quality-lead,72,adjacent,"Senior AET troubleshooting experience can translate to technical lead and field-service paths.",curated_mapping,https://www.onetonline.org/crosswalk/MOC/,2026-08-29
navy,AO,aircraft-armament-technician,98,direct,"AO aircraft weapons, launching devices, guided missiles, rockets, bombs, mines, torpedoes, and aviation-ammunition work maps directly to aircraft armament roles.",curated_mapping,https://www.navy.com/careers-benefits/careers/aviation/aviation-ordnanceman,2026-08-29
navy,AO,ordnance-technician,94,direct,"AO storage, assembly, inspection, handling, loading, and servicing of aviation ordnance is a direct ordnance-technician signal.",curated_mapping,https://www.navy.com/careers-benefits/careers/aviation/aviation-ordnanceman,2026-08-29
navy,AO,munitions-logistics-specialist,82,adjacent,"AO shop, armory, stowage, ammunition handling, and accountability experience can support munitions logistics roles.",curated_mapping,https://www.navy.com/careers-benefits/careers/aviation/aviation-ordnanceman,2026-08-29
navy,GM,naval-weapons-technician,99,direct,"GM guided missile launchers, torpedo and rocket launchers, gun mounts, small arms, magazines, and ordnance equipment map directly to naval weapons technician work.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted/Surface-CS-OPS/GM/,2026-08-29
navy,GM,fire-control-systems-technician,88,adjacent,"GM electrical, electronic, mechanical, hydraulic, and pneumatic troubleshooting supports fire-control and launcher-interface technician paths when system experience is explicit.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted/Surface-CS-OPS/GM/,2026-08-29
navy,GM,ordnance-technician,86,direct,"GM magazines, explosives, gun mounts, missiles, and ordnance equipment are a direct ordnance maintenance and handling signal.",curated_mapping,https://www.navy.com/careers-benefits/careers/industrial-mechanical/gunners-mate,2026-08-29
army,91F,small-arms-artillery-repairer,99,direct,"91F maintenance and repair of small arms, crew-served weapons, field artillery, and related systems maps directly to armorer and artillery repair roles.",curated_mapping,https://www.goarmy.com/careers-and-jobs/mechanics-engineering/test-repair/91f-small-arms-towed-artillery-repair,2026-08-29
army,91F,ordnance-technician,84,direct,"91F repair and inspection experience supports broader ordnance technician work where weapons maintenance and technical manuals are central.",curated_mapping,https://www.goarmy.com/careers-and-jobs/mechanics-engineering/test-repair/91f-small-arms-towed-artillery-repair,2026-08-29
army,89B,munitions-logistics-specialist,99,direct,"89B ammunition receiving, storage, issue, stock control, accounting, inspection, and explosives handling map directly to munitions logistics work.",curated_mapping,https://www.goarmy.com/careers-and-jobs/support-logistics/transportation-inventory/89b-ammunition-specialist,2026-08-29
army,89B,qasas-specialist,92,direct,"Experienced 89B ammunition surveillance and explosives-safety work is a strong feeder signal for QASAS-style DoD civilian ammunition quality roles.",curated_mapping,https://www.army.mil/article/283327/qasas_play_essential_role_in_army_readiness,2026-08-29
army,89B,ordnance-technician,88,direct,"Ammunition, explosives, inspection, and accountability experience translates directly to ordnance technician roles at depots, arsenals, and contractors.",curated_mapping,https://www.goarmy.com/careers-and-jobs/support-logistics/transportation-inventory/89b-ammunition-specialist,2026-08-29
army,94F,electro-optical-systems-technician,96,direct,"94F laser, fiber-optic, night-vision, and detection-system repair maps directly to electro-optical systems technician work.",curated_mapping,https://www.goarmy.com/careers-and-jobs/signal-intelligence/locations-stats-frequencies/94f-computer-detection-systems-repairer,2026-08-29
army,94F,fire-control-systems-technician,88,adjacent,"94F electronic and field-artillery digital repair can support fire-control, targeting, and weapon-electronics technician roles.",curated_mapping,https://www.goarmy.com/careers-and-jobs/signal-intelligence/locations-stats-frequencies/94f-computer-detection-systems-repairer,2026-08-29
air_force,2W1X1,aircraft-armament-technician,99,direct,"Aircraft Armament Systems loads, unloads, tests, inspects, and maintains aircraft weapons release, gun, launcher, rack, and suspension systems.",curated_mapping,https://www.airforce.com/careers/science-and-technology/aircraft-armament-systems,2026-08-29
air_force,2W1X1,ordnance-technician,90,direct,"2W1X1 munitions loading, aircraft guns, launchers, and test equipment translate to ordnance technician work when explosive-safety records are present.",curated_mapping,https://www.airforce.com/careers/science-and-technology/aircraft-armament-systems,2026-08-29
air_force,2W0X1,munitions-logistics-specialist,99,direct,"Munitions Systems manages munitions, personnel, equipment, facilities, hazardous materials, inventory, bombs, missiles, demolition, and small arms components.",curated_mapping,https://www.airforce.com/careers/logistics-and-administration/munitions-systems,2026-08-29
air_force,2W0X1,ordnance-technician,92,direct,"2W0X1 maintenance, reconditioning, inspection, and munitions handling is a direct ordnance technician signal.",curated_mapping,https://www.airforce.com/careers/logistics-and-administration/munitions-systems,2026-08-29
air_force,2W0X1,qasas-specialist,84,adjacent,"Experienced munitions surveillance, quality, and inventory control can support DoD civilian ammunition QA paths.",curated_mapping,https://www.army.mil/article/283327/qasas_play_essential_role_in_army_readiness,2026-08-29
air_force,2M0X1,missile-systems-maintenance-technician,98,direct,"2M0X1 missile, payload, guidance, control, checkout, wiring, and electronic maintenance maps directly to missile systems technician work.",curated_mapping,https://www.airforce.com/careers/science-and-technology/missile-and-space-systems-electronic-maintenance,2026-08-29
air_force,2M0X1,fire-control-systems-technician,86,adjacent,"Missile electronics, consoles, fault displays, checkout equipment, and secure-system troubleshooting support fire-control and integration paths.",curated_mapping,https://www.airforce.com/careers/science-and-technology/missile-and-space-systems-electronic-maintenance,2026-08-29
air_force,2M0X2,missile-systems-maintenance-technician,98,direct,"2M0X2 preventive maintenance, electrical tests, missile maintenance, space-lift booster, payload processing, and R&D support map directly to missile maintenance work.",curated_mapping,https://www.airforce.com/careers/science-and-technology/missile-and-space-systems-maintenance,2026-08-29
air_force,2M0X2,fire-control-systems-technician,82,adjacent,"Missile maintenance, testing, reliability, and treaty-compliance experience can support launch, test, integration, and field-service technician paths.",curated_mapping,https://www.airforce.com/careers/science-and-technology/missile-and-space-systems-maintenance,2026-08-29
marine_corps,6531,aircraft-armament-technician,99,direct,"6531 aircraft ordnance work maps directly to aircraft armament, weapons release, racks, launchers, and aviation weapons maintenance.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,6531,ordnance-technician,92,direct,"6531 aviation ordnance inspection, maintenance, loading, and support equipment experience translates directly to ordnance technician work.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,6541,ordnance-technician,98,direct,"6541 intermediate-level aviation ordnance systems work is a direct fit for ordnance technician, depot, test, and sustainment roles.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,6541,aircraft-armament-technician,92,direct,"6541 aviation ordnance systems experience supports aircraft armament roles, especially where racks, launchers, release systems, and support equipment are central.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,2311,munitions-logistics-specialist,99,direct,"2311 ammunition technician experience maps directly to ammunition handling, storage, issue, accountability, inspection, and explosives-safety work.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,2311,qasas-specialist,90,direct,"Experienced 2311 ammunition surveillance and explosives-safety work can feed DoD civilian ammunition QA paths.",curated_mapping,https://www.army.mil/article/283327/qasas_play_essential_role_in_army_readiness,2026-08-29
marine_corps,2171,electro-optical-systems-technician,98,direct,"2171 electro-optical ordnance repair maps directly to optics, laser, night-vision, thermal sight, and targeting-system technician work.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,2171,fire-control-systems-technician,88,adjacent,"Electro-optical ordnance repair supports fire-control and sensor-integration work where targeting and weapon electronics are central.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,0842,fire-control-systems-technician,92,direct,"Field artillery radar operation is a strong targeting, sensor, fire-direction, and fire-control support signal.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,0842,electro-optical-systems-technician,76,adjacent,"Radar and sensor experience can support broader electro-optical and detection-system paths when maintenance or calibration duties are documented.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,0844,fire-control-systems-technician,96,direct,"Field artillery fire-control experience maps directly to fire-direction, targeting, digital fire-control, and systems-integration support roles.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
marine_corps,0847,fire-control-systems-technician,88,adjacent,"Field artillery sensor-support experience can support fire-control, targeting, and systems-support roles when technical system work is explicit.",curated_mapping,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/4429151/navmc-12001l/,2026-08-29
navy,CWT,cyber-operator,96,direct,"CWT offensive and defensive cyber, exploitation, forensics, vulnerability analysis, threat analysis, and incident-response experience maps directly to cyber operator roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,CWT,soc-analyst,90,direct,"CWT defensive analysis and incident-response work maps directly to SOC and cyber defense analyst roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,CTN,cyber-operator,94,direct,"CTN is the legacy Navy cyber networks lineage that maps to the current CWT-style cyber operator path.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,CTN,soc-analyst,88,direct,"Legacy CTN defensive cyber and network-analysis records translate directly when written in current CWT and SOC terminology.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H11A,threat-hunter,92,direct,"Digital Network Analyst NEC experience maps to network intelligence, network forensics, threat analysis, and hunting roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H11A,soc-analyst,86,direct,"Digital network analysis supports SOC roles that depend on packet, network, and threat telemetry interpretation.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H12A,penetration-tester,92,direct,"Exploitation Analyst NEC experience maps to vulnerability analysis, exploitation support, cyber intelligence, and offensive-security roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H12A,cyber-operator,90,direct,"Exploitation analysis is a strong cyber-operator signal when paired with mission qualification and clearance.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H29A,cyber-operations-planner,96,direct,"Cyberspace Operations Planner NEC experience maps directly to cyber operations planning, coordination, risk, and mission documentation roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H29A,security-engineer,78,adjacent,"Cyber planning can support security program and engineering coordination roles when technical implementation history is present.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H31A,dfir-analyst,94,direct,"Host Cyber Defense Analyst NEC experience maps directly to endpoint security, host forensics, DFIR, malware triage, and EDR work.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H31A,threat-hunter,88,direct,"Host-analysis experience supports threat hunting where endpoint telemetry, process artifacts, and filesystem evidence matter.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H32A,penetration-tester,98,direct,"Cyber Threat Emulations Operator NEC experience maps directly to red team, penetration testing, adversary emulation, and purple-team roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H32A,cyber-operator,92,direct,"Threat-emulation experience is a high-signal offensive cyber operator background when clearance and mission context are explicit.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H34A,soc-analyst,96,direct,"Network Cyber Defense Analyst NEC experience maps directly to SOC, network defense, IDS/IPS, packet analysis, and incident-response roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H34A,threat-hunter,92,direct,"Network-defense analysis supports threat hunting where packet, flow, IDS, and SIEM data are central.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H41A,penetration-tester,96,direct,"Basic Offensive Cyberspace Operator NEC experience maps directly to offensive security and red-team roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H41A,cyber-operator,94,direct,"Offensive cyberspace operator qualification is a direct cyber operator signal, especially with TS/SCI or polygraph eligibility.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H41B,cyber-operator,99,direct,"Senior Cyberspace Operator NEC experience maps directly to senior offensive operator, mission lead, red-team, and cyber operations roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
navy,H41B,penetration-tester,96,direct,"Senior operator experience is a strong red-team and offensive-security signal when mission qualification and clearance are current.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Enlisted/Information-Warfare/CWT/,2026-08-29
army,17C,cyber-operator,98,direct,"17C analyst, operator, developer, forensic host/network, malware, offensive, and defensive cyber training maps directly to cyber operator roles.",curated_mapping,https://cybercoe.army.mil/Cyber-Center-of-Excellence/Schools/Cyber-School/Cyber-Courses/Cyber-Operations-Specialist/,2026-08-29
army,17C,penetration-tester,92,direct,"17C exploitation, vulnerability identification, offensive cyber, and scripting/development experience supports red-team and penetration-testing paths.",curated_mapping,https://cybercoe.army.mil/Cyber-Center-of-Excellence/Schools/Cyber-School/Cyber-Courses/Cyber-Operations-Specialist/,2026-08-29
army,17C,dfir-analyst,88,direct,"17C forensic host/network, malware analysis, incident response, and defensive cyber experience maps to DFIR and endpoint security roles.",curated_mapping,https://cybercoe.army.mil/Cyber-Center-of-Excellence/Schools/Cyber-School/Cyber-Courses/Cyber-Operations-Specialist/,2026-08-29
marine_corps,1721,cyber-operator,96,direct,"1721 offensive and defensive cyber tools, adversary emulation, exploitation, network analysis, and hunting map directly to cyber operator roles.",curated_mapping,https://www.information.marines.mil/17XX-Careers/1721/,2026-08-29
marine_corps,1721,threat-hunter,88,direct,"1721 hunt, incident-response, adversary-emulation, and network-analysis experience supports threat hunting and blue-team roles.",curated_mapping,https://www.information.marines.mil/17XX-Careers/1721/,2026-08-29
marine_corps,1712,cyber-operator,98,direct,"Interactive On-Net Operator NMOS experience is a direct offensive cyber operator signal.",curated_mapping,https://www.information.marines.mil/Portals/224/Docs/17XX/220330-17XX-Guide-to-the-IM-OccFld.pdf,2026-08-29
marine_corps,1712,penetration-tester,94,direct,"On-net operator experience maps strongly to red-team and penetration-testing paths when authorities and mission context are translated carefully.",curated_mapping,https://www.information.marines.mil/Portals/224/Docs/17XX/220330-17XX-Guide-to-the-IM-OccFld.pdf,2026-08-29
marine_corps,1713,penetration-tester,94,direct,"Exploitation Analyst NMOS experience maps to vulnerability analysis, exploitation support, cyber intelligence, and offensive-security roles.",curated_mapping,https://www.information.marines.mil/Portals/224/Docs/17XX/220330-17XX-Guide-to-the-IM-OccFld.pdf,2026-08-29
marine_corps,1713,cyber-operator,90,direct,"Exploitation analysis supports cyber operator roles when paired with operational qualification and clearance evidence.",curated_mapping,https://www.information.marines.mil/Portals/224/Docs/17XX/220330-17XX-Guide-to-the-IM-OccFld.pdf,2026-08-29
marine_corps,1722,dfir-analyst,96,direct,"Host Analyst NMOS experience maps directly to DFIR, endpoint security, malware triage, host analysis, and threat hunting.",curated_mapping,https://www.marines.mil/News/Messages/Messages-Display/Article/2717969/update-to-fy22-mos-manual-for-the-17xx-occupational-field/,2026-08-29
marine_corps,1722,threat-hunter,90,direct,"Host analysis supports threat hunting where Windows/Linux artifacts, endpoint telemetry, and adversary behavior are central.",curated_mapping,https://www.marines.mil/News/Messages/Messages-Display/Article/2717969/update-to-fy22-mos-manual-for-the-17xx-occupational-field/,2026-08-29
marine_corps,1723,soc-analyst,94,direct,"Network Analyst NMOS experience maps directly to SOC, network defense, packet analysis, IDS/IPS, and network forensics roles.",curated_mapping,https://www.information.marines.mil/Portals/224/Docs/17XX/220330-17XX-Guide-to-the-IM-OccFld.pdf,2026-08-29
marine_corps,1723,threat-hunter,90,direct,"Network analysis supports threat hunting and detection roles where packet, flow, SIEM, and IDS data are central.",curated_mapping,https://www.information.marines.mil/Portals/224/Docs/17XX/220330-17XX-Guide-to-the-IM-OccFld.pdf,2026-08-29
air_force,1B4X1,cyber-operator,98,direct,"1B4X1 cyber mission operations, intrusion detection, cyberspace situational awareness, and offensive/defensive operations map directly to cyber operator roles.",curated_mapping,https://www.airforce.com/careers/intelligence/cyber-warfare-operations,2026-08-29
air_force,1B4X1,threat-hunter,88,direct,"1B4X1 defensive cyber and intrusion-detection experience supports threat hunting, SOC, and cyber defense paths.",curated_mapping,https://www.airforce.com/careers/intelligence/cyber-warfare-operations,2026-08-29
air_force,1D7X1,security-engineer,94,direct,"1D7X1 systems, networks, infrastructure, communications equipment, sensors, intrusion detection, and support experience maps to security engineering.",curated_mapping,https://www.airforce.com/careers/intelligence/cyber-system-operations,2026-08-29
air_force,1D7X1,network-security-engineer,92,direct,"1D7X1 networking, systems, communications, and security-appliance work maps strongly to network security engineering.",curated_mapping,https://www.airforce.com/careers/intelligence/cyber-system-operations,2026-08-29
space_force,5C0X1,space-cybersecurity-specialist,98,direct,"Space Force Cyber Operations combines cyber defense, systems, networks, RF/satellite communications, and space-asset defense.",curated_mapping,https://www.spaceforce.com/enlisted-careers/cyber-operations,2026-08-29
space_force,5C0X1,security-engineer,90,direct,"Space Force cyber operations supports security engineering where ground systems, network infrastructure, and cleared space missions overlap.",curated_mapping,https://www.spaceforce.com/enlisted-careers/cyber-operations,2026-08-29
navy,CTT,electronic-warfare-specialist,98,direct,"CTT work centers on radar emissions, ELINT, EW operations, jamming, deception, threat warning, and electronic countermeasure support.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted/Information-Warfare/CTT/,2026-08-29
navy,CTT,elint-analyst,96,direct,"CTT radar-signal collection and analysis maps directly to ELINT and radar signal analysis roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted/Information-Warfare/CTT/,2026-08-29
navy,CTT,rf-systems-technician,86,adjacent,"CTTs with documented receiver, direction-finding, jammer, or SLQ-32 system experience can compete for RF systems technician and field-support roles.",curated_mapping,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted/Information-Warfare/CTT/,2026-08-29
navy,C00A,rf-systems-technician,96,direct,"AN/SLQ-32A/B(V) technician experience is a strong shipboard EW, RF, receiver, countermeasure, and field-service signal.",curated_mapping,https://www.mynavyhr.navy.mil/Portals/55/Career/ECM/Crypto_IT/CTT%20FY-27%20ECP%20FINAL.pdf,2026-08-29
navy,C00A,electronic-warfare-specialist,92,direct,"SLQ-32 technical experience maps directly to electronic support, countermeasure, and shipboard EW sustainment work.",curated_mapping,https://www.mynavyhr.navy.mil/Portals/55/Career/ECM/Crypto_IT/CTT%20FY-27%20ECP%20FINAL.pdf,2026-08-29
navy,C01A,electronic-warfare-specialist,96,direct,"AN/SLQ-32 operator experience maps directly to shipboard electronic support, threat warning, and electronic countermeasure operations.",curated_mapping,https://www.mynavyhr.navy.mil/Portals/55/Career/ECM/Crypto_IT/CTT%20FY-27%20ECP%20FINAL.pdf,2026-08-29
navy,C01A,spectrum-operations-analyst,84,adjacent,"Experienced EW operators can support spectrum operations and mission planning when planning/deconfliction duties are documented.",curated_mapping,https://www.mynavyhr.navy.mil/Portals/55/Career/ECM/Crypto_IT/CTT%20FY-27%20ECP%20FINAL.pdf,2026-08-29
navy,C02A,rf-systems-technician,96,direct,"AN/SLQ-32(V)3/4 technician work is a direct RF, EW, field-service, and sustainment match.",curated_mapping,https://www.mynavyhr.navy.mil/Portals/55/Career/ECM/Crypto_IT/CTT%20FY-27%20ECP%20FINAL.pdf,2026-08-29
navy,C02A,ew-test-and-evaluation-technician,88,adjacent,"SLQ-32 technician experience can support lab, shipboard, and integration testing roles when troubleshooting and test equipment duties are explicit.",curated_mapping,https://www.mynavyhr.navy.mil/Portals/55/Career/ECM/Crypto_IT/CTT%20FY-27%20ECP%20FINAL.pdf,2026-08-29
navy,C04A,rf-systems-technician,98,direct,"AN/SLQ-32(V)6 technician experience is highly predictive for modern shipboard EW, SEWIP, RF, and field-service support.",curated_mapping,https://www.mynavyhr.navy.mil/Portals/55/Career/ECM/Crypto_IT/CTT%20FY-27%20ECP%20FINAL.pdf,2026-08-29
