EmployerSlug,DisplayName,ParentCompany,EmployerType,ExistingDefenseEmployerSlug,WebsiteUrl,Notes,SourceKind,SourceUrl,SourceRetrievedOn,SkillBridgeStatus,SkillBridgeParticipationType,SkillBridgePathways,SkillBridgeRemoteAvailable,SkillBridgeNationwide,SkillBridgeTargetDomains,SkillBridgeDurationDaysMin,SkillBridgeDurationDaysMax,SkillBridgeMouExpiration,SkillBridgeSourceUrl,SkillBridgeVerifiedAt,SkillBridgeNotes
google-mandiant,Google / Mandiant,Google,commercial_cyber,,https://www.google.com/about/careers/applications/,"Commercial cloud and incident-response employer relevant to Mandiant-style DFIR, threat intelligence, red team, malware, and cloud security work.",careers_page,https://www.google.com/about/careers/applications/,2026-08-29,unknown,,,,,,,,,,,
amazon-aws,Amazon / AWS,Amazon,commercial_cyber,,https://www.amazon.jobs/,"Commercial cloud employer relevant to cloud security, infrastructure security, network security, incident response, and cleared cloud work.",careers_page,https://www.amazon.jobs/,2026-08-29,active,direct_employer,direct_internship,True,True,aws_cloud|operations|logistics|program_management,,,,https://hiredtroops.com/skillbridge/providers/amazon/,2026-08-29,Amazon/AWS is documented as a direct SkillBridge provider.
cisco-splunk,Cisco / Splunk,Cisco,commercial_cyber,,https://jobs.cisco.com/,"Commercial networking and security employer relevant to network security, SOC tooling, SIEM, telemetry, and detection engineering.",careers_page,https://jobs.cisco.com/,2026-08-29,active,direct_employer,direct_internship,True,True,networking|network_engineering|sales_engineering|technical_sales,,,,https://hiredtroops.com/skillbridge/providers/cisco-systems-inc/,2026-08-29,Cisco is documented as a direct SkillBridge provider.
cloudflare,Cloudflare,Cloudflare,commercial_cyber,,https://www.cloudflare.com/careers/,"Commercial internet security employer relevant to network security, cloud security, zero trust, incident response, and edge infrastructure.",careers_page,https://www.cloudflare.com/careers/,2026-08-29,unknown,,,,,,,,,,,
fortinet,Fortinet,Fortinet,commercial_cyber,,https://www.fortinet.com/corporate/careers,"Commercial cybersecurity employer relevant to network security, firewall, SOC, threat research, and security engineering paths.",careers_page,https://www.fortinet.com/corporate/careers,2026-08-29,unknown,,,,,,,,,,,
sentinelone,SentinelOne,SentinelOne,commercial_cyber,,https://www.sentinelone.com/careers/,"Commercial endpoint security employer relevant to EDR, threat hunting, malware analysis, incident response, and detection engineering.",careers_page,https://www.sentinelone.com/careers/,2026-08-29,unknown,,,,,,,,,,,
recorded-future,Recorded Future,Recorded Future,commercial_cyber,,https://www.recordedfuture.com/careers,"Commercial threat-intelligence employer relevant to cyber intelligence, network analysis, threat hunting, and intelligence fusion.",careers_page,https://www.recordedfuture.com/careers,2026-08-29,unknown,,,,,,,,,,,
dragos,Dragos,Dragos,commercial_cyber,,https://www.dragos.com/careers/,"Commercial industrial-cybersecurity employer relevant to threat hunting, incident response, network analysis, and critical-infrastructure defense.",careers_page,https://www.dragos.com/careers/,2026-08-29,unknown,,,,,,,,,,,
rapid7,Rapid7,Rapid7,commercial_cyber,,https://www.rapid7.com/careers/,"Commercial cybersecurity employer relevant to vulnerability management, detection, incident response, exposure management, and offensive security.",careers_page,https://www.rapid7.com/careers/,2026-08-29,unknown,,,,,,,,,,,
okta,Okta,Okta,commercial_cyber,,https://www.okta.com/company/careers/,"Commercial identity-security employer relevant to IAM, zero trust, cloud security, detection, and incident response backgrounds.",careers_page,https://www.okta.com/company/careers/,2026-08-29,unknown,,,,,,,,,,,
viasat,Viasat,Viasat,commercial_cyber,,https://careers.viasat.com/,"Satellite communications and networking employer relevant to Space Force cyber, RF, satellite, and network-security backgrounds.",careers_page,https://careers.viasat.com/,2026-08-29,unknown,,,,,,,,,,,
sierra-nevada,Sierra Nevada Company,Sierra Nevada Corporation,defense_contractor,sierra-nevada,https://www.sncorp.com/careers/,"Aerospace and defense technology employer relevant to SOF aviation, mission systems, EW, RF, ISR, and integration/test backgrounds.",careers_page,https://www.sncorp.com/careers/,2026-08-29,active,direct_employer,direct_internship,False,True,aircraft|isr|avionics|cyber|logistics|engineering,,,,https://hiredtroops.com/skillbridge/providers/sierra-nevada-corporation/,2026-08-29,Sierra Nevada Corporation is documented as a direct SkillBridge provider.
gd-electric-boat,General Dynamics Electric Boat,General Dynamics,defense_contractor,general-dynamics,https://www.gdeb.com/careers/,"Submarine builder (Groton CT / Quonset Point RI) relevant to shipboard electrical, marine-electrician, and combat-systems electronics backgrounds.",careers_page,https://www.gdeb.com/careers/,2026-08-29,active,direct_employer,direct_internship,False,False,submarine_systems|shipyard_testing|electrical_mechanical|qa|engineering,,,,https://hiredtroops.com/skillbridge/providers/general-dynamics-electric-boat/,2026-08-29,Electric Boat is documented as a direct SkillBridge provider in Groton CT.
gd-nassco,General Dynamics NASSCO,General Dynamics,defense_contractor,general-dynamics,https://jobs.nassco.com/,"San Diego shipyard (new construction and repair) relevant to marine electrician and shipboard electrical maintenance backgrounds.",careers_page,https://jobs.nassco.com/,2026-08-29,unknown,,,,,,,,,,,
fincantieri-marinette,Fincantieri Marine Group / Marinette Marine,Fincantieri,defense_contractor,fincantieri-marinette,https://fincantierimarinegroup.com/careers/,"Great Lakes shipbuilder (Marinette WI) building Constellation-class frigates and LCS; relevant to marine electrician and shipboard electrical work.",careers_page,https://fincantierimarinegroup.com/careers/,2026-08-29,unknown,,,,,,,,,,,
austal-usa,Austal USA,Austal,defense_contractor,austal-usa,https://www.austaljobs.com/,"Mobile AL shipyard (aluminum and steel naval ships) relevant to marine electrician and shipboard electrical or electronics backgrounds.",careers_page,https://www.austaljobs.com/,2026-08-29,unknown,,,,,,,,,,,
gd-mission-systems,General Dynamics Mission Systems / Progeny Systems,General Dynamics,defense_contractor,general-dynamics,https://gdmissionsystems.com/careers,"General Dynamics Mission Systems and Progeny Systems are direct undersea sonar, submarine systems, acoustic data collection, and sonar signal-processing targets.",company_page,https://gdmissionsystems.com/submarine-systems/sonar,2026-08-31,unknown,,,,,,,,,,,
oceaneering,Oceaneering,Oceaneering,defense_contractor,oceaneering,https://www.oceaneering.com/careers/,"Underwater robotics, subsea systems, sensors, and engineering-services employer relevant to sonar, undersea systems, ROV, and maritime sensor backgrounds.",careers_page,https://www.oceaneering.com/careers/,2026-08-31,unknown,,,,,,,,,,,
three-saints-bay,Three Saints Bay / Ghostrock,Three Saints Bay,defense_contractor,three-saints-bay,https://www.threesaintsbay.com/careers/,"Federal contractor family with Ghostrock submarine towed-array systems technician postings that explicitly name STS backgrounds.",current_posting_snapshot,https://www.clearancejobs.com/jobs/9122828/navy-sonar-technician-submarine-sts-6105,2026-08-31,unknown,,,,,,,,,,,
office-of-naval-intelligence,Office of Naval Intelligence,U.S. Navy,government_agency,,https://www.oni.navy.mil/careers/,"Federal civilian intelligence path for acoustic intelligence, SWORD acoustic analyst, and undersea warfare analysis work.",current_posting_snapshot,https://www.oni.navy.mil/careers/current-openings/fileid/103597/,2026-08-31,unknown,,,,,,,,,,,
marine-acoustics,Marine Acoustics Inc.,Marine Acoustics Inc.,defense_contractor,marine-acoustics,https://marineacoustics.com/careers/,"Underwater acoustics employer with public recruiting evidence for STS/STG acoustic analysis and undersea AI/ML work.",current_posting_snapshot,https://www.linkedin.com/in/jacqueline-workman-0246abb4,2026-08-31,unknown,,,,,,,,,,,
arcfield,Arcfield,Arcfield,defense_contractor,arcfield,https://careers.arcfield.com/,"National-security contractor with Newport RI submarine fire-control and SONAR technician test-engineering postings explicitly naming FT/STS.",current_posting_snapshot,https://careers.arcfield.com/careers-home/jobs/8515?lang=en-us,2026-08-31,unknown,,,,,,,,,,,
trf-bangor,TRIDENT Refit Facility Bangor,U.S. Navy (NAVSEA),government_agency,,https://www.navsea.navy.mil/Home/TRFB/Careers/,"Federal-civilian TRIDENT/SWS pipeline (Silverdale/Bangor WA) hiring electronics mechanics, electricians, marine machinery mechanics, and industrial trades near Naval Base Kitsap-Bangor.",careers_page,https://www.navsea.navy.mil/Home/TRFB/Careers/,2026-09-01,unknown,,,,,,,,,,,
trf-kings-bay,TRIDENT Refit Facility Kings Bay,U.S. Navy (NAVSEA),government_agency,,https://cnrse.cnic.navy.mil/Installations/SUBASE-Kings-Bay/About/Tenant-Commands/Trident-Refit-Facility/,"Federal-civilian TRIDENT/SWS pipeline (Kings Bay GA); roughly 1,700 military and civilian workers supporting SSBN overhaul, modernization, repair, and logistics.",company_page,https://cnrse.cnic.navy.mil/Installations/SUBASE-Kings-Bay/About/Tenant-Commands/Trident-Refit-Facility/,2026-09-01,unknown,,,,,,,,,,,
draper,Draper (Charles Stark Draper Laboratory),Draper,defense_contractor,,https://www.draper.com/careers,Not-for-profit R&D lab; the TRIDENT II D5 guidance prime and a strategic-systems engineering target for SWS technical backgrounds.,careers_page,https://www.draper.com/careers,2026-09-01,unknown,,,,,,,,,,,
jhu-apl,Johns Hopkins University Applied Physics Laboratory,Johns Hopkins University,defense_contractor,,https://www.jhuapl.edu/careers,"Navy university-affiliated research center (UARC) in Laurel MD; strategic systems (TRIDENT/SSP), strike, missile defense, and undersea work — a strong SWS/strategic-weapons technical SME target.",careers_page,https://www.jhuapl.edu/careers,2026-09-01,unknown,,,,,,,,,,,
navsea,Naval Sea Systems Command,Department of the Navy,government_agency,navsea,https://www.navsea.navy.mil/,"Navy systems command (shipbuilding and warfare centers) that hires civilians into GS acquisition, logistics, financial, security, HR, and QA series; the /defense-jobs USAJOBS listings are NAVSEA postings.",official_service_page,https://www.navsea.navy.mil/,2026-08-31,unknown,,,,,,,,,,,
