state,NoIncomeTax,RetiredPayTax,DisabledVetPropertyTax,EmploymentPreference,EducationBenefit,ParksBenefit,HuntFishBenefit,Summary
NY,N,exempt,Y,Y,Y,Y,Y,"Military retired pay generally exempt, property-tax exemptions, National Guard tuition assistance, veteran/dependent education assistance, state active-duty compensation, employment assistance, civil service preference, plates, hunting/fishing, state park privileges."
NC,N,conditional,Y,Y,Y,,Y,"Military retired pay exemption for many qualifying retirees, property-tax exemptions, state employment preference, education/tuition assistance, vehicle tags, hunting/fishing privileges."
ND,N,unknown,Y,Y,Y,Y,,"State education benefits, disabled-veteran property-tax credits, public employment preference, veterans aid loan/grant programs, veterans transportation program, state park permit benefits."
OH,N,partial,Y,Y,Y,Y,Y,"Military retired pay deduction, disabled-veteran homestead property-tax relief, veterans burial benefits, employment assistance, public employment preference, War Orphans and Severely Disabled Veterans Scholarship, plates, hunting/fishing/state park privileges."
OK,N,unknown,,Y,Y,,Y,"Tax exemptions, employment assistance, veterans employment preference, tuition assistance, special plates, free/reduced hunting and fishing privileges."
OR,N,unknown,,Y,Y,Y,Y,"State employment preference, education/tuition assistance, vehicle tags, Oregon Parks and Recreation Special Access Pass for veterans/service members, hunting/fishing privileges."
PA,N,unknown,Y,Y,Y,,Y,"Veterans emergency assistance, disabled-veteran real estate tax exemption, education assistance, employment assistance, blind/paralyzed veteran pensions, civil service preference, plates, hunting/fishing licenses."
RI,N,unknown,Y,Y,Y,Y,Y,"Veterans employment preference, property-tax exemptions, education assistance/scholarships, plates, free hunting/fishing for 100% disabled veterans, free state park pass for 100% disabled veterans, disabled-veteran bus pass options."
SC,N,partial,Y,Y,Y,,Y,"Military retired pay income-tax deduction, expanded property-tax exemptions for disabled veterans/POWs/MOH recipients, state employment preference, education/tuition assistance, vehicle tags, hunting/fishing privileges."
SD,Y,no_income_tax,Y,,Y,Y,Y,"No state income tax, property-tax exemption for veterans/survivors, state active-duty compensation, education assistance, plates, hunting/fishing benefits, reduced/free state park fees."
TN,Y,no_income_tax,Y,Y,,Y,Y,"No state income tax, veterans employment preference, property-tax relief, county motor vehicle tax relief, plates, burial in state veterans cemeteries, lifetime hunting/fishing licenses, state park privileges."
TX,Y,no_income_tax,Y,Y,Y,,Y,"No state income tax, 100% disabled/unemployable veteran homestead exemption, Veterans Land Board loan programs, state retirement benefits, Texas National Guard Tuition Scholarship, employment preference, plates, hunting/fishing benefits."
UT,N,unknown,Y,Y,Y,Y,Y,"Disabled-veteran property-tax exemption, veterans hiring preference, state education/tuition assistance, free state park admission through disabled-veteran Honor Pass, plates, hunting/fishing privileges."
VT,N,conditional,Y,Y,Y,,Y,"New tiered military retired pay exemption beginning tax year 2025, low-income veteran tax credit, property-tax exemption for disabled veterans/survivors, employment preference, education/tuition assistance, tags, hunting/fishing privileges."
VA,N,unknown,Y,Y,Y,Y,Y,"Property-tax exemption for disabled veterans, vehicle tax/sales exemptions in certain disabled-veteran situations, education/tuition assistance, employment assistance, military/veteran plates, hunting/fishing privileges, free/discounted state park disability passport."
WA,Y,no_income_tax,Y,Y,Y,Y,Y,"No state income tax, disabled-veteran/senior property-tax reduction programs, employment preference, education/tuition assistance, vehicle tags, hunting/fishing privileges, lifetime disabled-veteran state park pass."
WV,N,unknown,,Y,Y,,Y,"State tax exemptions, state employment preference, education/tuition assistance, vehicle tags, hunting/fishing privileges."
WI,N,unknown,Y,Y,Y,Y,Y,"Property-tax credit, Wisconsin G.I. Bill education benefit, state employment veterans hiring preference, Veteran Retraining Grants, plates, hunting/fishing benefits, state park/forest/trail pass benefits for disabled veterans."
WY,Y,no_income_tax,Y,Y,Y,Y,Y,"No state income tax, Veterans Property Tax Exemption, Military Assistance Trust Fund, veterans employment preference, employment/training services, unemployment benefits, plates, education benefits, hunting/fishing benefits, state park privileges."
